path	node_id	zone_id	zone_label	status	classes	functions	lines	bytes	sha256
src/mechanist/net/StreamSafeTextFields.java	M_src_mechanist_net_StreamSafeTextFields_java	UI_RENDER	UI Render Surfaces	positioned	1	7	75	3363	726ad4e7535210bfeca0268e6fe3f20d0761e00f377537d025b2b250399ca734
src/mechanist/server/admin/ServerAdminConsole.java	M_src_mechanist_server_admin_ServerAdminConsole_java	UI_RENDER	UI Render Surfaces	positioned	4	14	270	14916	c4a90bf63a8b0642db26738534f38b26eff805d72a8e7fdea90cae0885dec2a2
src/mechanist/server/admin/ServerAdminEvent.java	M_src_mechanist_server_admin_ServerAdminEvent_java	WORLD_GEN	World Generation Transition	positioned	2	8	52	1530	11b4d1e46a3488970f391db1926065362c1aa2845db50c74b9e1df7437c78792
src/mechanist/server/admin/ServerAdminLog.java	M_src_mechanist_server_admin_ServerAdminLog_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	5	45	1478	38aefb4eea12518bb4b0937f9fa726fe59fc09af89091ad7e20581d4233044d2
src/mechanist/server/admin/ServerMaintenanceResult.java	M_src_mechanist_server_admin_ServerMaintenanceResult_java	COMBAT_SIM	Combat Entity Simulation	positioned	2	7	36	1096	316cf1320571e6a48b799f4c7e01a61344c50a40b68254bbd1ff82b1cbcac368
src/mechanist/server/admin/ServerMaintenanceService.java	M_src_mechanist_server_admin_ServerMaintenanceService_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	14	150	6910	f229a066f219e439ce17587568737510a1fbb6b046a5dc24167f3ceb4a83e381
src/mechanist/server/admin/ServerRestartPlan.java	M_src_mechanist_server_admin_ServerRestartPlan_java	INVENTORY_PERSIST	Inventory Items Persistence	positioned	2	7	38	1235	1017dce0936b4ab79ea1fc800d121c4e02458cf09cab536a1b81f782637d2720
src/mechanist/server/admin/ServerRuntimeStatus.java	M_src_mechanist_server_admin_ServerRuntimeStatus_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	11	54	2517	6c93c93d0da69fec13fda8a17b786e998b90d8af7e170bfcec8a6ab4d93de1d0
src/mechanist/server/admin/ServerRuntimeStatusProvider.java	M_src_mechanist_server_admin_ServerRuntimeStatusProvider_java	UI_INPUT	UI Input Navigation	positioned	1	9	97	4844	e09943e33dd3bfe874da0bbded8e1371756baef637099586ff222158190aac72
src/mechanist/server/admin/ServerSafeRestartService.java	M_src_mechanist_server_admin_ServerSafeRestartService_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	6	95	5085	bba33b75bc737caeef679b1c14f8c045a19ffa2ec950520a3a0faef25234feae
src/mechanist/server/admin/ServerUpdateService.java	M_src_mechanist_server_admin_ServerUpdateService_java	UI_INPUT	UI Input Navigation	positioned	2	7	126	6394	3f8da83f9d3eb5e3b3a52a38485ae1bf2f63fbc744375b850a85e36f23e299b5
src/mechanist/server/admin/ServerUpdateStatus.java	M_src_mechanist_server_admin_ServerUpdateStatus_java	COMBAT_SIM	Combat Entity Simulation	positioned	2	8	45	1781	81e41adacda8bbb44ee1e304857989d68c2cd14ce14a3d0d5b26c7c76b814be3
src/mechanist/ui/GraphicsPackageSelectorPanel.java	M_src_mechanist_ui_GraphicsPackageSelectorPanel_java	UI_RENDER	UI Render Surfaces	positioned	1	6	75	2738	f437861b25663f13aaf90b5b03e7e0243eebaa1bf8fa511f05983876fdedf480
src/mechanist/ui/KeybindingRemappingPanel.java	M_src_mechanist_ui_KeybindingRemappingPanel_java	UI_RENDER	UI Render Surfaces	positioned	2	22	309	12394	39a37dd7b01509973840839c5126b86ff46220b3f6e63927c65a583911dd82d8
src/mechanist/ui/SquareCommandAction.java	M_src_mechanist_ui_SquareCommandAction_java	COMBAT_SIM	Combat Entity Simulation	positioned	1	9	38	1345	9b7fa13f88542487c8a7f26ffd9da0c55d16bd7a98470bf8becb5527815fd9c6
src/mechanist/ui/SquareCommandBar.java	M_src_mechanist_ui_SquareCommandBar_java	UI_RENDER	UI Render Surfaces	positioned	1	9	86	3086	fe95cb2a9ea471629dd090ff5d8d3db7694f9e5efe785bc3b7214c37078151fb
src/mechanist/ui/SquareCommandBarDemo.java	M_src_mechanist_ui_SquareCommandBarDemo_java	UI_RENDER	UI Render Surfaces	positioned	1	2	27	1291	334e9feabb97e484d74c7c9b51173c19548c57984ee1bd2976119a8a1c146804
