path	class	function	start	end	lines	visibility	static	owner_zone	sha256	signature
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleFactionContinuity	215	220	6	private	False	ui.render.surface	51bbee166cdc247a41a3017f6b292b38c5174dcf47670d3c17f8fe85338f9724	private String handleFactionContinuity(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleFactionAutonomy	222	227	6	private	False	ui.render.surface	faf95ed6a9fba76296a3a6266f0074d2b397b45cee8ad36e5322f74218a0248b	private String handleFactionAutonomy(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleFactionTick	229	239	11	private	False	ui.render.surface	c3221783edc6e2221003fa4d4b150ac6ba8c8791b2550d79050330a2870c505e	private String handleFactionTick(GamePanel game, String[] args) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handlePlayerAssignments	241	246	6	private	False	ui.render.surface	d8c759ebed03fd5e7bd83654e696d9e505dae832cd06152e6eb4771ce48863e9	private String handlePlayerAssignments(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleRankParity	248	253	6	private	False	ui.render.surface	904b5fcce42fecdc234d5e2ebab811b2e916b2d1b67b22e4a650bb6622939902	private String handleRankParity(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleUiFramework	255	259	5	private	False	ui.render.surface	1eace6e921ede96e469c762630fc800527ef38fbbb3c485445488a1805bd67ac	private String handleUiFramework() {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleGameplayDefaults	261	266	6	private	False	ui.render.surface	d96b03d2b46d7c8d2420fddba8ad91740ef07a166e791f4f054ff680d46093d4	private String handleGameplayDefaults(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleBlueprintEditor	268	273	6	private	False	ui.render.surface	240eacebfc4aed91a3fe36da743f743784e172a8daf256c556cd1cebc6ff5f7f	private String handleBlueprintEditor(GamePanel game) {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleConstructionValidation	275	288	14	private	False	diagnostics.smoke.audit	343d6e0cadceec70ea0208ff761e2cfd2f232125e4a930219bbd6bcc01b7b47c	private String handleConstructionValidation() {
src/mechanist/AdminCommandDispatcher.java	MutationSink	handleConstructionProgress	290	294	5	private	False	ui.render.surface	081e0d8115ab60785995b2e16c41e69562e57c5dbc2a239a61db1b1f85346656	private String handleConstructionProgress(GamePanel game) {
