file	line	column	kind	message
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	133		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	134		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	135		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	136		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	137		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	138		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	139		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	140		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	141		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	142		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	143		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	149		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	158		error	incompatible types: WorldAtlas cannot be converted to LegacyPanelAtlas
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	159		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	163		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	164		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	165		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	166		error	incompatible types: possible lossy conversion from long to int
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	168		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	168		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	168		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	170		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	170		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	175		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	176		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	177		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	178		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	178		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	179		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	179		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	180		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	181		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	181		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	182		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	182		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	183		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	183		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	184		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	188		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	189		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	191		error	incompatible types: ZoneType cannot be converted to String
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	192		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	192		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	192		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	192		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	193		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	193		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	194		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	194		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	208		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	208		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	209		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	210		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	210		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	211		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	211		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	212		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	212		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	213		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	213		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	214		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	214		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	215		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	215		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	216		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	216		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	217		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	218		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	218		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	219		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	219		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	220		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	220		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	221		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	221		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	222		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	223		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	224		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	224		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	225		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	225		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	226		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	227		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	227		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	229		error	cannot find symbol
